age,annual_income,months_employed,employment_type,home_ownership,loan_amount,account_balance,defaulted
36.0,38557.0,91.0,unemployed,own,7073.0,9646.0,1
22.0,22314.0,79.0,salaried,mortgage,7035.0,4163.0,0
31.0,54250.0,97.0,salaried,own,9293.0,10195.0,0
34.0,47333.0,86.0,self_employed,rent,25799.0,6940.0,0
53.0,26293.0,205.0,salaried,mortgage,7176.0,4055.0,0
44.0,31849.0,35.0,salaried,rent,5645.0,2542.0,1
19.0,24918.0,41.0,salaried,own,2809.0,5618.0,0
44.0,39019.0,36.0,salaried,own,16502.0,12326.0,1
35.0,61686.0,39.0,unemployed,own,25813.0,4732.0,1
32.0,25756.0,35.0,salaried,own,6962.0,,0
47.0,50353.0,135.0,salaried,own,6841.0,,1
52.0,31615.0,148.0,salaried,rent,9637.0,9898.0,0
51.0,28091.0,39.0,salaried,own,7180.0,6239.0,1
30.0,38248.0,24.0,salaried,own,16774.0,7094.0,1
36.0,25188.0,96.0,salaried,rent,10148.0,5548.0,0
44.0,31284.0,40.0,salaried,mortgage,8831.0,6273.0,0
52.0,23411.0,105.0,self_employed,rent,4892.0,,0
34.0,97161.0,81.0,salaried,own,57715.0,15852.0,0
38.0,40777.0,0.0,salaried,mortgage,13334.0,10624.0,0
27.0,29294.0,155.0,unemployed,own,13011.0,0.0,0
26.0,44192.0,169.0,self_employed,own,7525.0,8603.0,0
50.0,38157.0,36.0,salaried,rent,13080.0,6211.0,0
56.0,36336.0,49.0,salaried,own,4134.0,0.0,1
39.0,52911.0,86.0,salaried,mortgage,18663.0,8536.0,0
52.0,56437.0,88.0,self_employed,mortgage,32847.0,12448.0,1
44.0,31611.0,106.0,unemployed,mortgage,9234.0,9585.0,0
32.0,30973.0,181.0,self_employed,rent,3701.0,978.0,0
44.0,35462.0,60.0,salaried,own,4095.0,0.0,1
58.0,14245.0,26.0,self_employed,mortgage,4188.0,396.0,1
40.0,20296.0,0.0,salaried,rent,3654.0,7682.0,0
59.0,74243.0,30.0,salaried,mortgage,8291.0,9270.0,0
18.0,84140.0,68.0,salaried,rent,40228.0,,0
50.0,35880.0,169.0,unemployed,own,11814.0,0.0,0
41.0,52023.0,42.0,salaried,mortgage,12726.0,8762.0,0
36.0,46169.0,82.0,self_employed,own,25395.0,12525.0,1
41.0,160411.0,69.0,salaried,rent,25356.0,33339.0,0
18.0,66424.0,135.0,salaried,rent,38390.0,2970.0,0
37.0,37890.0,209.0,salaried,own,9737.0,0.0,0
44.0,26108.0,41.0,salaried,mortgage,14208.0,,1
58.0,19479.0,43.0,self_employed,own,7820.0,3466.0,1
34.0,43983.0,127.0,salaried,mortgage,22579.0,10589.0,0
30.0,28557.0,108.0,self_employed,mortgage,16906.0,0.0,1
34.0,21162.0,172.0,self_employed,rent,5168.0,2005.0,0
51.0,30003.0,102.0,unemployed,mortgage,17419.0,1730.0,1
44.0,24669.0,50.0,salaried,mortgage,7271.0,7316.0,1
34.0,85752.0,102.0,salaried,own,25104.0,23761.0,0
46.0,59679.0,131.0,salaried,own,16125.0,0.0,0
41.0,39991.0,115.0,unemployed,own,14825.0,,1
52.0,78118.0,98.0,unemployed,own,13833.0,10014.0,0
32.0,41557.0,129.0,salaried,rent,15661.0,6610.0,0
36.0,27239.0,134.0,self_employed,mortgage,10102.0,5694.0,0
35.0,79651.0,146.0,salaried,mortgage,38308.0,22023.0,0
22.0,51150.0,106.0,self_employed,own,26436.0,11695.0,0
44.0,25166.0,61.0,salaried,rent,8059.0,3758.0,0
43.0,36840.0,78.0,self_employed,rent,9253.0,3846.0,1
40.0,27064.0,136.0,salaried,own,6216.0,11636.0,0
37.0,21542.0,25.0,self_employed,rent,4250.0,0.0,1
23.0,60887.0,90.0,self_employed,mortgage,7844.0,13232.0,0
35.0,94773.0,48.0,self_employed,own,25705.0,12189.0,0
36.0,21389.0,72.0,salaried,mortgage,5029.0,4775.0,1
30.0,51706.0,140.0,salaried,mortgage,30155.0,7246.0,0
38.0,29948.0,81.0,salaried,own,11346.0,2466.0,0
45.0,32235.0,73.0,salaried,rent,8821.0,9658.0,1
63.0,30743.0,0.0,salaried,rent,11997.0,833.0,1
42.0,27206.0,111.0,unemployed,mortgage,4614.0,,0
43.0,41021.0,106.0,salaried,mortgage,13210.0,,1
39.0,27614.0,189.0,salaried,mortgage,11408.0,0.0,0
18.0,45329.0,53.0,salaried,mortgage,15614.0,0.0,0
40.0,39238.0,82.0,salaried,mortgage,11806.0,1657.0,1
41.0,36043.0,84.0,self_employed,own,21515.0,7772.0,0
70.0,26678.0,157.0,salaried,mortgage,14410.0,2134.0,0
38.0,30960.0,65.0,unemployed,rent,12746.0,11303.0,1
44.0,56383.0,85.0,salaried,mortgage,21690.0,8923.0,0
40.0,50283.0,103.0,unemployed,own,20633.0,6501.0,1
26.0,25851.0,80.0,unemployed,rent,5187.0,4615.0,1
54.0,41970.0,45.0,salaried,own,12489.0,8203.0,0
49.0,56282.0,81.0,unemployed,own,6739.0,8318.0,0
49.0,18935.0,129.0,salaried,own,6396.0,391.0,0
29.0,51252.0,14.0,self_employed,mortgage,19041.0,5851.0,0
57.0,29787.0,77.0,salaried,rent,6371.0,10390.0,1
23.0,51884.0,31.0,unemployed,mortgage,30197.0,13748.0,0
47.0,28468.0,136.0,unemployed,own,15792.0,3870.0,1
66.0,17815.0,0.0,self_employed,rent,8214.0,3481.0,0
28.0,19295.0,39.0,self_employed,rent,7075.0,3246.0,1
33.0,41013.0,91.0,salaried,rent,21941.0,3481.0,0
41.0,45111.0,156.0,salaried,own,7458.0,5485.0,0
34.0,26717.0,66.0,salaried,mortgage,13232.0,1271.0,1
21.0,53496.0,39.0,salaried,rent,8688.0,8277.0,0
41.0,19002.0,173.0,self_employed,rent,9446.0,0.0,1
27.0,38959.0,0.0,salaried,own,9268.0,5669.0,1
46.0,23273.0,0.0,unemployed,own,12534.0,8519.0,0
29.0,29932.0,94.0,self_employed,mortgage,17122.0,3163.0,0
59.0,41000.0,42.0,self_employed,rent,7150.0,0.0,0
31.0,27250.0,14.0,salaried,mortgage,9029.0,161.0,1
36.0,33757.0,109.0,unemployed,mortgage,19933.0,9514.0,1
50.0,63122.0,83.0,unemployed,own,21569.0,10797.0,0
25.0,30958.0,39.0,salaried,mortgage,16463.0,5139.0,1
43.0,58458.0,0.0,self_employed,rent,23054.0,12752.0,0
56.0,24140.0,118.0,self_employed,mortgage,6944.0,6217.0,1
21.0,50940.0,106.0,salaried,rent,12373.0,5991.0,1
42.0,76780.0,65.0,salaried,rent,15480.0,18888.0,0
43.0,13197.0,172.0,salaried,own,6346.0,4462.0,1
49.0,28040.0,11.0,salaried,mortgage,8223.0,7085.0,0
25.0,52036.0,0.0,salaried,own,18506.0,,1
24.0,36630.0,32.0,salaried,rent,12680.0,12446.0,0
46.0,47430.0,67.0,salaried,mortgage,18433.0,8490.0,0
44.0,30583.0,83.0,salaried,mortgage,16294.0,869.0,0
43.0,41730.0,57.0,unemployed,rent,24636.0,8130.0,1
44.0,37419.0,89.0,salaried,mortgage,11368.0,1818.0,0
32.0,67880.0,1.0,unemployed,rent,34874.0,1718.0,1
43.0,45003.0,149.0,salaried,mortgage,21703.0,9377.0,0
44.0,46720.0,65.0,salaried,own,18070.0,593.0,0
31.0,33345.0,131.0,salaried,mortgage,19274.0,,0
62.0,32228.0,89.0,salaried,rent,6453.0,5446.0,0
46.0,33036.0,95.0,salaried,mortgage,5108.0,1164.0,1
26.0,47930.0,101.0,self_employed,rent,25258.0,,0
48.0,33208.0,95.0,salaried,rent,10612.0,4396.0,1
28.0,45725.0,105.0,self_employed,own,23936.0,4554.0,1
49.0,102123.0,143.0,self_employed,rent,55815.0,11194.0,0
54.0,59397.0,81.0,salaried,own,7795.0,2041.0,0
30.0,34658.0,109.0,salaried,own,18775.0,811.0,1
52.0,68909.0,65.0,self_employed,own,22338.0,18696.0,0
45.0,33402.0,149.0,salaried,rent,11865.0,9252.0,0
50.0,16040.0,33.0,salaried,mortgage,6629.0,0.0,1
63.0,25498.0,169.0,unemployed,own,14360.0,3768.0,1
37.0,17294.0,68.0,salaried,mortgage,1895.0,1670.0,1
31.0,34263.0,0.0,self_employed,mortgage,11595.0,7151.0,0
29.0,40469.0,77.0,unemployed,own,17963.0,4390.0,1
30.0,85340.0,33.0,salaried,rent,39372.0,4945.0,0
39.0,46496.0,116.0,salaried,rent,20750.0,,0
44.0,36367.0,34.0,salaried,mortgage,6081.0,,0
43.0,58293.0,45.0,salaried,rent,14556.0,12468.0,0
50.0,14839.0,0.0,salaried,mortgage,4145.0,3847.0,0
40.0,44624.0,45.0,self_employed,rent,22411.0,5987.0,0
57.0,56777.0,0.0,salaried,mortgage,13591.0,17424.0,1
37.0,20633.0,0.0,salaried,mortgage,4237.0,3678.0,1
73.0,67150.0,112.0,unemployed,own,38861.0,21549.0,0
48.0,46738.0,113.0,self_employed,rent,4881.0,8392.0,0
30.0,33294.0,93.0,self_employed,mortgage,19940.0,5708.0,1
27.0,53357.0,17.0,salaried,own,23392.0,9798.0,0
46.0,111504.0,67.0,self_employed,own,57339.0,23218.0,0
37.0,43558.0,70.0,salaried,mortgage,10772.0,0.0,0
49.0,44878.0,6.0,salaried,mortgage,4809.0,5541.0,1
46.0,32640.0,153.0,salaried,rent,15306.0,8140.0,0
39.0,27380.0,118.0,unemployed,rent,14157.0,0.0,1
30.0,58317.0,58.0,salaried,own,27423.0,14584.0,0
22.0,27303.0,71.0,salaried,rent,4680.0,2047.0,0
35.0,41448.0,81.0,salaried,own,19759.0,13537.0,0
50.0,32372.0,0.0,salaried,rent,15683.0,0.0,1
43.0,49789.0,56.0,self_employed,rent,21373.0,5068.0,1
25.0,46637.0,32.0,self_employed,mortgage,22528.0,9668.0,1
42.0,64016.0,15.0,self_employed,rent,33478.0,4302.0,1
45.0,31904.0,55.0,salaried,mortgage,12979.0,8002.0,1
29.0,35545.0,169.0,salaried,mortgage,5129.0,8615.0,0
42.0,25837.0,105.0,salaried,rent,8883.0,0.0,1
41.0,32862.0,39.0,salaried,mortgage,4562.0,3049.0,1
26.0,47562.0,101.0,salaried,mortgage,14448.0,3336.0,0
44.0,56424.0,147.0,self_employed,mortgage,17128.0,6950.0,0
47.0,26503.0,121.0,salaried,rent,3525.0,4288.0,1
53.0,59357.0,73.0,salaried,mortgage,16288.0,14926.0,0
53.0,73868.0,34.0,salaried,own,11486.0,14924.0,0
23.0,48342.0,108.0,salaried,rent,24370.0,11718.0,0
29.0,93392.0,92.0,salaried,rent,53592.0,,0
46.0,28333.0,119.0,unemployed,own,3858.0,7169.0,1
46.0,22923.0,105.0,self_employed,own,13239.0,6240.0,0
46.0,18026.0,128.0,unemployed,own,6513.0,4612.0,1
75.0,78686.0,41.0,salaried,mortgage,19654.0,20973.0,0
47.0,53877.0,142.0,salaried,mortgage,7458.0,5368.0,0
54.0,39143.0,81.0,salaried,rent,13712.0,6406.0,0
51.0,45524.0,184.0,salaried,mortgage,22637.0,4180.0,1
48.0,24186.0,32.0,self_employed,mortgage,10969.0,,1
36.0,120643.0,165.0,salaried,mortgage,15094.0,10113.0,0
49.0,42538.0,81.0,salaried,rent,5804.0,11999.0,0
31.0,42160.0,34.0,salaried,mortgage,12709.0,10755.0,0
37.0,55637.0,43.0,salaried,rent,13778.0,11434.0,0
34.0,49834.0,52.0,self_employed,mortgage,10774.0,11537.0,0
41.0,44389.0,93.0,salaried,own,10676.0,,0
68.0,28121.0,99.0,salaried,mortgage,14109.0,10153.0,0
18.0,49621.0,38.0,salaried,mortgage,28017.0,4763.0,0
48.0,93612.0,69.0,salaried,mortgage,28322.0,11930.0,0
21.0,73529.0,188.0,self_employed,own,40666.0,6254.0,0
34.0,82202.0,165.0,unemployed,own,21434.0,20162.0,0
53.0,31887.0,94.0,unemployed,rent,10785.0,9208.0,1
41.0,25711.0,72.0,self_employed,own,5477.0,6989.0,1
27.0,37926.0,77.0,salaried,rent,15938.0,2334.0,0
31.0,41154.0,104.0,self_employed,own,24260.0,10857.0,1
48.0,65669.0,14.0,salaried,mortgage,26382.0,2315.0,0
31.0,18740.0,56.0,salaried,mortgage,5227.0,4246.0,0
43.0,79881.0,0.0,self_employed,mortgage,33862.0,23299.0,0
41.0,37380.0,92.0,salaried,mortgage,6035.0,4205.0,1
32.0,33120.0,106.0,unemployed,own,18028.0,,1
66.0,25452.0,43.0,salaried,own,8947.0,3745.0,1
48.0,19059.0,157.0,self_employed,mortgage,6188.0,7737.0,1
18.0,58129.0,3.0,self_employed,mortgage,22841.0,10529.0,1
42.0,41481.0,0.0,unemployed,rent,17106.0,9235.0,1
32.0,22461.0,82.0,self_employed,rent,3052.0,,1
50.0,22409.0,128.0,self_employed,rent,9889.0,0.0,1
30.0,34506.0,163.0,salaried,rent,7625.0,8688.0,0
39.0,85056.0,45.0,salaried,mortgage,38869.0,23782.0,0
46.0,35710.0,129.0,salaried,own,18257.0,736.0,0
50.0,20406.0,68.0,self_employed,rent,10243.0,5145.0,1
26.0,35933.0,61.0,salaried,mortgage,13520.0,9866.0,1
36.0,35500.0,119.0,self_employed,mortgage,12783.0,3212.0,0
34.0,11925.0,106.0,salaried,own,2044.0,0.0,1
32.0,39166.0,0.0,salaried,mortgage,19100.0,13130.0,0
61.0,36173.0,151.0,self_employed,mortgage,8526.0,5632.0,1
45.0,54901.0,146.0,salaried,rent,19125.0,5110.0,0
25.0,92229.0,36.0,salaried,mortgage,22332.0,10048.0,0
51.0,66633.0,92.0,salaried,mortgage,11122.0,20102.0,0
65.0,35561.0,97.0,unemployed,rent,14750.0,5692.0,1
52.0,24393.0,84.0,self_employed,own,3102.0,4859.0,0
22.0,127773.0,40.0,salaried,mortgage,60606.0,12063.0,0
34.0,41219.0,33.0,salaried,own,10667.0,11097.0,1
55.0,40387.0,69.0,salaried,rent,4041.0,8053.0,1
32.0,39701.0,135.0,self_employed,rent,14116.0,8160.0,1
45.0,43877.0,100.0,self_employed,own,5416.0,15901.0,0
49.0,37610.0,50.0,salaried,rent,8954.0,0.0,0
29.0,31003.0,112.0,salaried,own,14059.0,5599.0,0
39.0,31380.0,0.0,salaried,rent,4122.0,1173.0,0
18.0,39548.0,133.0,self_employed,rent,20552.0,9620.0,1
28.0,31428.0,0.0,self_employed,rent,3203.0,4420.0,0
37.0,29121.0,50.0,salaried,own,6506.0,3510.0,1
25.0,42104.0,8.0,salaried,rent,19808.0,5385.0,0
60.0,35784.0,0.0,salaried,rent,9237.0,6757.0,0
23.0,78968.0,134.0,unemployed,mortgage,11920.0,9030.0,0
35.0,12174.0,44.0,salaried,rent,3410.0,0.0,1
42.0,65590.0,89.0,self_employed,own,15427.0,7367.0,0
57.0,70315.0,67.0,self_employed,rent,36659.0,1925.0,0
23.0,15788.0,96.0,salaried,own,4052.0,1410.0,0
54.0,34399.0,74.0,salaried,rent,17009.0,3722.0,0
40.0,33957.0,0.0,salaried,mortgage,18538.0,4000.0,1
28.0,21303.0,125.0,self_employed,own,6751.0,,0
46.0,28282.0,43.0,self_employed,own,15696.0,5967.0,1
42.0,24349.0,0.0,self_employed,own,7029.0,,1
33.0,88302.0,46.0,salaried,mortgage,51395.0,9604.0,0
41.0,61148.0,153.0,salaried,mortgage,8845.0,17177.0,0
35.0,71125.0,117.0,unemployed,mortgage,31545.0,12790.0,0
41.0,55534.0,51.0,self_employed,own,19265.0,11577.0,0
48.0,24147.0,51.0,salaried,own,7095.0,3064.0,1
59.0,31697.0,52.0,unemployed,rent,13197.0,0.0,1
25.0,50022.0,184.0,self_employed,own,22606.0,7523.0,0
66.0,23157.0,91.0,salaried,rent,2366.0,6476.0,1
18.0,55318.0,94.0,self_employed,rent,10150.0,74.0,0
38.0,36021.0,127.0,self_employed,mortgage,16444.0,4793.0,0
47.0,33905.0,83.0,self_employed,mortgage,14687.0,1547.0,0
43.0,55267.0,56.0,salaried,rent,32222.0,7669.0,0
33.0,49017.0,59.0,salaried,own,23554.0,,0
38.0,34117.0,66.0,unemployed,own,19630.0,624.0,1
34.0,67623.0,68.0,salaried,own,30516.0,11432.0,1
33.0,24674.0,110.0,salaried,rent,6144.0,295.0,0
50.0,52954.0,73.0,salaried,own,8085.0,15027.0,0
44.0,52412.0,110.0,salaried,mortgage,25730.0,1370.0,1
32.0,34916.0,66.0,self_employed,rent,14737.0,2734.0,1
51.0,46479.0,74.0,unemployed,rent,5768.0,9935.0,0
44.0,22857.0,0.0,salaried,mortgage,6401.0,1734.0,0
50.0,60828.0,120.0,salaried,own,35183.0,6732.0,0
48.0,36931.0,89.0,salaried,rent,12933.0,3269.0,1
30.0,31722.0,125.0,unemployed,mortgage,10036.0,3272.0,1
33.0,64348.0,0.0,self_employed,own,21161.0,4619.0,0
49.0,29233.0,185.0,salaried,own,5976.0,1677.0,0
47.0,21294.0,62.0,self_employed,rent,6055.0,4045.0,1
40.0,19921.0,131.0,unemployed,mortgage,5676.0,3354.0,1
41.0,52718.0,13.0,self_employed,rent,6652.0,3247.0,1
55.0,22557.0,104.0,unemployed,rent,10913.0,2038.0,0
33.0,88403.0,12.0,salaried,mortgage,27250.0,23602.0,0
47.0,15727.0,36.0,self_employed,mortgage,8038.0,1874.0,1
38.0,86112.0,175.0,salaried,mortgage,45224.0,,0
37.0,44133.0,60.0,self_employed,mortgage,9091.0,0.0,0
53.0,38426.0,82.0,self_employed,mortgage,16472.0,8376.0,1
50.0,31407.0,118.0,self_employed,rent,10557.0,1889.0,1
50.0,48031.0,97.0,self_employed,mortgage,25941.0,1689.0,0
56.0,39461.0,78.0,salaried,rent,8203.0,,0
40.0,65939.0,90.0,salaried,mortgage,28941.0,11222.0,0
48.0,42252.0,202.0,unemployed,mortgage,17065.0,7394.0,0
36.0,42943.0,67.0,unemployed,mortgage,10635.0,1592.0,0
44.0,34077.0,81.0,salaried,mortgage,5735.0,92.0,1
38.0,39119.0,128.0,salaried,rent,16658.0,9628.0,0
41.0,46097.0,131.0,salaried,own,21633.0,4616.0,0
47.0,18591.0,135.0,self_employed,mortgage,4793.0,199.0,0
30.0,21880.0,105.0,self_employed,own,9242.0,,1
65.0,56076.0,7.0,salaried,mortgage,16686.0,,0
28.0,43343.0,160.0,salaried,mortgage,19791.0,4436.0,0
25.0,36946.0,7.0,self_employed,mortgage,7375.0,8391.0,0
54.0,40469.0,87.0,self_employed,rent,22060.0,,1
49.0,46930.0,29.0,salaried,mortgage,11437.0,10186.0,1
47.0,31480.0,66.0,salaried,rent,8937.0,,1
48.0,28276.0,88.0,salaried,mortgage,3649.0,0.0,1
40.0,43832.0,88.0,salaried,mortgage,6827.0,1875.0,1
29.0,25841.0,93.0,salaried,own,9249.0,,0
41.0,48229.0,159.0,self_employed,own,11276.0,12487.0,0
32.0,18654.0,95.0,unemployed,mortgage,9658.0,3842.0,0
52.0,63775.0,57.0,self_employed,mortgage,6846.0,3643.0,0
38.0,49646.0,123.0,self_employed,own,14375.0,7480.0,0
30.0,45036.0,135.0,salaried,own,12100.0,12951.0,0
36.0,62456.0,2.0,salaried,own,6849.0,12101.0,0
45.0,84920.0,103.0,salaried,rent,13773.0,14063.0,0
33.0,63352.0,109.0,salaried,mortgage,19438.0,1921.0,1
30.0,17529.0,54.0,self_employed,mortgage,6073.0,4030.0,1
43.0,22566.0,146.0,unemployed,own,6818.0,2451.0,0
43.0,30298.0,62.0,salaried,mortgage,11073.0,,1
34.0,40609.0,77.0,salaried,own,16145.0,7811.0,1
34.0,50663.0,60.0,self_employed,own,5318.0,5507.0,1
43.0,28953.0,71.0,salaried,mortgage,9614.0,8985.0,0
23.0,43654.0,10.0,salaried,own,25396.0,2371.0,1
23.0,28569.0,0.0,self_employed,own,10271.0,2953.0,1
31.0,30480.0,158.0,self_employed,own,13374.0,8829.0,0
37.0,21312.0,23.0,salaried,own,5454.0,4060.0,1
44.0,26491.0,15.0,salaried,own,12901.0,2560.0,1
58.0,21845.0,0.0,self_employed,mortgage,10627.0,2717.0,1
50.0,25870.0,35.0,salaried,rent,9330.0,2622.0,1
38.0,64482.0,0.0,salaried,mortgage,37916.0,13744.0,1
40.0,26181.0,160.0,self_employed,mortgage,4262.0,3775.0,1
28.0,131212.0,126.0,salaried,own,14233.0,15236.0,0
40.0,50111.0,32.0,self_employed,rent,24308.0,7015.0,1
37.0,43616.0,194.0,salaried,mortgage,21964.0,,0
44.0,27275.0,124.0,unemployed,own,4367.0,5433.0,1
30.0,55003.0,52.0,salaried,mortgage,12804.0,0.0,1
46.0,30976.0,0.0,salaried,own,3369.0,9286.0,0
58.0,42400.0,196.0,salaried,mortgage,10458.0,11053.0,0
39.0,127012.0,0.0,salaried,mortgage,61800.0,28736.0,0
45.0,38437.0,0.0,unemployed,rent,13798.0,2473.0,1
48.0,67317.0,126.0,unemployed,mortgage,18448.0,15012.0,0
35.0,29248.0,204.0,salaried,rent,8361.0,0.0,1
43.0,39508.0,146.0,salaried,rent,3978.0,5316.0,0
40.0,89042.0,101.0,self_employed,own,22252.0,21104.0,0
41.0,30269.0,103.0,unemployed,own,12811.0,7142.0,1
31.0,90726.0,117.0,salaried,mortgage,53265.0,0.0,0
40.0,55187.0,112.0,salaried,mortgage,28892.0,2934.0,0
46.0,31160.0,85.0,salaried,mortgage,3484.0,330.0,0
57.0,53348.0,76.0,self_employed,rent,29303.0,3118.0,1
52.0,62171.0,67.0,salaried,rent,30563.0,,0
66.0,53094.0,29.0,self_employed,mortgage,26026.0,,0
31.0,19799.0,55.0,salaried,mortgage,6514.0,4393.0,1
50.0,28934.0,0.0,self_employed,rent,8651.0,4151.0,0
42.0,35904.0,65.0,salaried,rent,9028.0,6976.0,0
66.0,38813.0,16.0,salaried,rent,5156.0,10271.0,0
30.0,53067.0,9.0,salaried,own,11363.0,266.0,0
30.0,43476.0,80.0,self_employed,mortgage,9708.0,10974.0,1
33.0,22007.0,147.0,salaried,own,7527.0,5075.0,1
18.0,47624.0,121.0,salaried,own,22561.0,13862.0,0
34.0,52826.0,0.0,salaried,own,17797.0,13431.0,1
31.0,51632.0,16.0,salaried,mortgage,6657.0,13385.0,0
42.0,65274.0,122.0,self_employed,mortgage,37787.0,11625.0,0
44.0,58411.0,16.0,self_employed,own,33374.0,1305.0,0
63.0,49347.0,58.0,self_employed,mortgage,24308.0,10494.0,1
51.0,38887.0,100.0,salaried,mortgage,23164.0,9484.0,0
33.0,19007.0,17.0,self_employed,mortgage,7075.0,3592.0,1
29.0,48695.0,76.0,salaried,own,28311.0,5940.0,0
46.0,44067.0,0.0,salaried,mortgage,6073.0,0.0,0
24.0,45352.0,37.0,salaried,rent,12827.0,6119.0,0
62.0,22595.0,88.0,salaried,own,4806.0,8699.0,1
54.0,24674.0,0.0,self_employed,own,4883.0,3052.0,1
34.0,64468.0,94.0,self_employed,mortgage,10985.0,11328.0,0
19.0,39427.0,69.0,self_employed,rent,16213.0,0.0,1
56.0,54539.0,100.0,salaried,mortgage,26760.0,4859.0,0
39.0,40650.0,82.0,salaried,mortgage,15819.0,10857.0,0
55.0,40676.0,145.0,salaried,mortgage,7057.0,6313.0,0
